date;Arconate;Caiolo;Cinisello_PN;Mantova_Lunetta2;Pieve_SGiacomo;Vertemate
08/01/2016;702.24;NA;750.52;664.34;NA;1324.68
09/01/2016;229.69;771;NA;NA;1033.21;674.69
10/01/2016;571.22;301.24;500.35;2183.73;NA;597.32
11/01/2016;364.82;214.4;924.34;6167;NA;1003.13
12/01/2016;392.08;201.5;784.97;4231.93;6225.2;1362.98
13/01/2016;730.3;220.25;1973.72;NA;NA;2222.43
14/01/2016;933.66;393.68;1144.07;1492.53;NA;1511.15
15/01/2016;2934.78;258.95;5682.82;4743.31;NA;3288.82
16/01/2016;4415.73;1989.68;3070.7;NA;NA;2036.76
17/01/2016;4785.87;NA;5647.84;3247.19;NA;3386.31
18/01/2016;1272.81;NA;307.23;1240.22;NA;492.9
19/01/2016;485.98;102.94;418.42;809.44;234.61;457.39
20/01/2016;453;NA;651.17;557.54;NA;637.87
21/01/2016;685.22;NA;712.21;675.91;NA;646.65
22/01/2016;204.29;NA;248.71;750.12;NA;414.96
23/01/2016;634.54;NA;1578.18;NA;NA;1393.57
24/01/2016;485.98;NA;468.03;986.06;NA;569.77
25/01/2016;737.35;NA;1924.78;809.97;NA;1616.22
26/01/2016;720.19;NA;1627.92;728.57;937.65;1199.93
27/01/2016;408.04;NA;302.58;849.52;NA;1227.59
28/01/2016;482.39;NA;526.68;NA;NA;555.41
29/01/2016;546.36;NA;510.99;1091.66;NA;880.99
30/01/2016;339.95;NA;298.45;371.81;NA;276.64
31/01/2016;712.22;NA;901.08;NA;NA;757.83
01/02/2016;1054.31;NA;1188.51;942.95;NA;1102.01
02/02/2016;306.19;NA;264.54;267.49;NA;250.71
03/02/2016;6918.66;NA;5563.66;694.39;NA;3608.56
04/02/2016;1694.95;3553.09;4086.16;1896.05;NA;4668.3
05/02/2016;997.5;926.08;1243.55;NA;1575.25;1797.36
06/02/2016;240.33;495.56;241.4;837.9;407.78;135.66
07/02/2016;1662.77;748;978.88;6528.7;5895.36;1774.75
08/02/2016;386.23;529.21;974.22;NA;1934.35;804.58
09/02/2016;1382.17;520.03;2090.76;NA;3500.97;2605.87
10/02/2016;1558.09;2180.1;4835.35;8387.38;11131.3;3143.59
11/02/2016;768.74;227.16;526.68;NA;966.11;1681.12
12/02/2016;895.36;919.43;864.5;2577.52;1509.32;971.96
